Seq,CR_No,Comp_Name_Eng,Comp_Name_Chi,Replaced_Name_Eng,Replaced_Name_Chi,Replaced_Eff_date
23,"1609733","AMERICA GENUINE XIN SI BO DING BALL INDUSTRY LIMITED","美國正品新斯伯丁球業有限公司","Company Registration Number 1609733 Limited","公司註冊編號 1609733 有限公司"," 28-06-2012"
24,"0867045","AMERICA GOLD MEDAL PLAYBOY (GROUP) LIMITED","美國金牌花花公子(集團)有限公司","Company Registration Number 867045 Limited","公司註冊編號 867045 有限公司"," 07-03-2013"
25,"1542073","AMERICA JIAN AN XI ORGANISM MEDICINE (HONG KONG) LIMITED","美國健安喜生物醫藥(香港)有限公司","Company Registration Number 1542073 Limited","公司註冊編號 1542073 有限公司"," 01-02-2012"
26,"1341673","AMERICA MASCOT OIL (HONG KONG) INVESTMENT CO., LIMITED","美國美孚美斯克石油(香港)投資有限公司","AMERICA MASCOT OIL (HONG KONG) INVESTMENT CO., LIMITED","公司註冊編號 1341673 有限公司"," 06-06-2014"
27,"0813361","AMERICA MEI FU INTERNATIONAL PETROL GROUP LIMITED","美國美孚國際石油集團有限公司","Company Registration Number 0813361 Limited","公司註冊編號 0813361 有限公司"," 08-11-2012"
28,"1158564","AMERICA MOBIL INTERNATIONAL PETROL GROUP (CHINA) CO., LIMITED","美國美孚國際石油集團(中國)有限公司","Company Registration Number 1158564 Limited","公司註冊編號 1158564 有限公司"," 30-01-2013"
29,"1387386","AMERICA PLAYBOY GROUP LIMITED","美國花花公子集團有限公司","Company Registration Number 1387386 Limited","公司註冊編號 1387386 有限公司"," 28-09-2012"
30,"2154097","AMERICA PROJECT MANAGEMENT INSTITUTE LIMITED","美國項目管理協會有限公司","Company Registration Number 2154097 Limited","公司註冊編號 2154097 有限公司"," 02-12-2015"
31,"0977659","AMERICAN ESSO OIL GROUP LIMITED","( 美國埃索石油(集團)有限公司 )","Company Registration Number 0977659 Limited","公司註冊編號 0977659 有限公司"," 26-09-2014"
32,"1617211","AMERICAN MOBIL OIL CHEMICAL GROUP (CHINA) CO., LIMITED","美國美孚石油化工集團(中國)有限公司","Company Registration Number 1617211 Limited","公司註冊編號 1617211 有限公司"," 19-12-2013"
33,"2395466","ANDEMA SHARE INTERNATIONAL CO., LIMITED","安德瑪股份國際有限公司","Company Registration Number 2395466 Limited","公司註冊編號 2395466 有限公司"," 09-08-2017"
34,"1937279","ANHUA CERAMICS (FOSHAN) CO., LIMITED","安華陶瓷(佛山)有限公司","Company Registration Number 1937279 Limited","公司註冊編號 1937279 有限公司"," 17-04-2014"
35,"1831622","ANHUA SANITARY WARES (HONGKONG) LIMITED","安華衛浴(香港)有限公司","Company Registration Number 1831622 Limited","公司註冊編號 1831622 有限公司"," 03-01-2014"
36,"2179225","AO SHIMITH (CHINA) LIMITED","艾歐史密斯(中國)有限公司","Company Registration Number 2179225 Limited","公司註冊編號 2179225 有限公司"," 18-02-2016"
37,"1888668","AOKANG INTERNATIONAL (HONGKONG) CO., LIMITED","澳康國際(香港)有限公司","Company Registration Number 1888668 Limited","澳康國際(香港)有限公司"," 10-07-2013"
38,"1700000","APOLLO BATHROOM INDUSTRY CO., LIMITED","阿波羅衛浴實業有限公司","Company Registration Number 1700000 Limited","公司註冊編號 1700000 有限公司"," 10-10-2012"
39,"1991070","APOLLO SANITARY WARE (FOSHAN) LIMITED","阿波羅衛浴(佛山)有限公司","Company Registration Number 1991070 Limited","公司註冊編號 1991070 有限公司"," 18-12-2014"
40,"1652763","APOLLO SANITARY WARE (ITALY) INDUSTRY LIMITED","阿波羅衛浴(意大利)實業有限公司","Company Registration Number 1652763 Limited","公司註冊編號 1652763 有限公司"," 10-09-2012"
41,"1879498","APPOLLO (INTERNATIONAL) SANITARY WARE CO., LIMITED","阿波羅(國際)衛浴有限公司","Company Registration Number 1879498 Limited","公司註冊編號 1879498 有限公司"," 06-02-2014"
42,"1016159","AQUA Organization Limited","水組織有限公司","Company Registration Number 1016159 Limited","水組織有限公司"," 21-07-2016"
43,"1738252","ARRDVV (HONG KONG) SANITARY WARE CO., LIMITED","箭牌(香港)國際有限公司","ARRDVV (HONG KONG) SANITARY WARE CO., LIMITED","公司註冊編號 1738252 有限公司"," 29-05-2013"
44,"1761331","ARROW BATHROOM (HK) INTERNATIONAL INDUSTRIAL LIMITED","箭牌衛浴(香港)國際實業有限公司","Company Registration Number 1761331 Limited","公司註冊編號 1761331 有限公司"," 18-07-2013"
45,"1873784","ARROW BATHROOM (ITALY) LIMITED","箭牌整體衛浴(意大利)有限公司","Company Registration Number 1873784 Limited","公司註冊編號 1873784 有限公司"," 28-04-2014"
46,"2117983","ARROW INTERNATIONAL BATHROOM LIMITED","箭牌國際衛浴有限公司","Company Registration Number 2117983 Limited","公司註冊編號 2117983 有限公司"," 07-07-2015"
47,"1871814","ARROW KITCHEN HEALTH CO., LIMITED","箭牌廚衛有限公司","ARROW KITCHEN HEALTH CO., LIMITED","公司註冊編號 1871814 有限公司"," 24-04-2014"
48,"1584385","ARROW SANITARY WARE (FOSHAN) INDUSTRY LIMITED","箭牌衛浴(佛山)實業有限公司","Company Registration Number 1584385 Limited","公司註冊編號 1584385 有限公司"," 25-05-2012"
49,"2123572","ARROW SANITARY WARE (HK) INTERNATIONAL CERAMICS LIMITED","箭牌衛浴(香港)國際瓷業有限公司","Company Registration Number 2123572 Limited","公司註冊編號 2123572 有限公司"," 02-07-2015"
50,"2099569","ARROW SANITARY WARE (HK) TECHNOLOGY LIMITED","箭牌衛浴(香港)科技有限公司","Company Registration Number 2099569 Limited","公司註冊編號 2099569 有限公司"," 07-07-2015"
51,"1896952","ARROW SANITARY WARE GROUP LIMITED","箭牌衛浴集團有限公司","Company Registration Number 1896952 Limited","公司註冊編號 1896952 有限公司"," 04-06-2014"
52,"1747544","ARROW SANITARY WARE HOLDING LIMITED","箭牌衛浴股份有限公司","Company Registration Number 1747544 Limited","公司註冊編號 1747544 有限公司"," 25-06-2013"
53,"1686292","ARROW SANITARY WARE INTERNATIONAL INDUSTRY LIMITED","箭牌衛浴國際實業有限公司","Company Registration Number 1686292 Limited","公司註冊編號 1686292 有限公司"," 07-01-2013"
54,"0767085","ASIAN CAPITAL ENTERPRISES LIMITED","亞太企業發展有限公司","Company Registration Number 767085 Limited","亞太企業發展有限公司"," 15-11-2013"
55,"2171471","ASICS INTERNATIONAL GROUP CO., LIMITED","亞瑟士國際集團有限公司","Company Registration Number 2171471 Limited","公司註冊編號 2171471 有限公司"," 09-03-2016"
56,"2296881","ASICS MEN'S SHOES CO., LIMITED","亞瑟士男鞋有限公司","Company Registration Number 2296881 Limited","公司註冊編號 2296881 有限公司"," 03-03-2016"
57,"0753884","ASTIMS CPA LIMITED","力天會計師有限公司","Company Registration Number 753884 Limited","公司註冊編號 753884 有限公司"," 29-04-2013"
58,"2298058","ATLAS COMPRESSOR (CHINA) LIMITED","阿特拉斯壓縮機(中國)有限公司","Company Registration Number 2298058 Limited","公司註冊編號 2298058 有限公司"," 30-11-2016"
59,"2304284","AXA TAIPING PROPERTY INSURANCE (HK) LIMITED","安盛太平財產保險(香港)有限公司","Company Registration Number 2304284 Limited","公司註冊編號 2304284 有限公司"," 01-02-2017"
60,"2047319","AXIS INTERNATIONAL TRADING LIMITED","埃克森國際貿易有限公司","AXIS INTERNATIONAL TRADING LIMITED","公司註冊編號 2047319 有限公司"," 26-06-2015"
61,"2059520","AXSON GUITAR INSTRUMENT LIMITED","埃克森樂器有限公司","AXSON GUITAR INSTRUMENT LIMITED","公司註冊編號 2059520 有限公司"," 26-06-2015"
62,"2276099","Aisi Kesi (HK) Co., Limited","愛思克思(香港)有限公司","Company Registration Number 2276099 Limited","公司註冊編號 2276099 有限公司"," 31-10-2016"
63,"2276913","Ajwro Porcelain China Investment Co., Limited","箭牌瓷業中國投資有限公司","Ajwro Porcelain China Investment Co., Limited","公司註冊編號 2276913 有限公司"," 29-09-2016"
64,"1618089","Alishasha Industry Co., Limited","阿裏莎莎實業有限公司","Alishasha Industry Co., Limited","公司註冊編號 1618089 有限公司"," 12-06-2012"
65,"2823971","America Simmons Limited","美國席夢思集團香港有限公司","Company Registration Number 2823971 Limited","公司註冊編號 2823971 有限公司"," 17-06-2020"
66,"1613734","American Wyeth Pharmaceutical International Group (HK) Co., Limited","美國惠氏藥業國際集團(香港)有限公司","Company Registration Number 1613734 Limited","公司註冊編號 1613734 有限公司"," 22-02-2012"
67,"1926498","Apollo (Italy) Sanitary Ware Technology Limited","阿波羅(意大利)衛浴科技有限公司","Company Registration Number 1926498 Limited","公司註冊編號 1926498 有限公司"," 14-04-2014"
68,"1994221","Arrow Ware (Hong Kong) Kitchen Equipment Limited","箭牌衛浴(香港)廚衛設備有限公司","Company Registration Number 1994221 Limited","公司註冊編號 1994221 有限公司"," 10-09-2014"
69,"2117250","B OF C INT'L LIMITED","中銀聯國際有限公司","B OF C INT'L LIMITED","公司註冊編號 2117250 有限公司"," 20-08-2015"
70,"2137064","BAIERSI TECHNOLOGY LIMITED","拜耳斯科技有限公司","Company Registration Number 2137064 Limited","公司註冊編號 2137064 有限公司"," 09-01-2015"
71,"1858938","BAILI SHOES (HK) SHARE CO., LIMITED","百麗鞋業(香港)股份有限公司","Company Registration Number 1858938 Limited","公司註冊編號 1858938 有限公司"," 11-02-2014"
72,"1687422","BAILI SHOES INDUSTRY INTERNATIONAL LIMITED","百麗鞋業國際有限公司","Company Registration Number 1687422 Limited","公司註冊編號 1687422 有限公司"," 13-03-2013"
73,"1669376","BAOSH TRADING CO., LIMITED","寶旭工貿有限公司","Company Registration Number 1669376 Limited","寶旭工貿有限公司"," 30-08-2012"
74,"1893369","BASF ASIA PACIFIC (INTERNATIONAL) CO., LIMITED","巴斯夫亞太(國際)有限公司","Company Registration Number 1893369 Limited","公司註冊編號 1893369 有限公司"," 29-05-2014"
75,"2587437","BASIFU (CHINA) INTERNATIONAL GROUP CO., LIMITED","巴斯夫(中國)國際集團有限公司","Company Registration Number 2587437 Limited","公司註冊編號 2587437 有限公司"," 13-12-2018"
76,"1365564","BAYER (CHINA) MEDICAL GROUP LIMITED","拜耳(中國)藥業集團有限公司","Company Registration Number 1365564 Limited","公司註冊編號 1365564 有限公司"," 11-09-2014"
77,"2580644","BEIJING GUANLONG TECHNOLOGY MANUFACTURING CO., LIMITED","北京冠龍科技製造有限公司","Company Registration Number 2580644 Limited","公司註冊編號 2580644 有限公司"," 27-11-2018"
78,"1826400","BEIJING LIANSU PLASTIC GUANYE CO., LIMITED","北京聯塑塑膠管業有限公司","Company Registration Number 1826400 Limited","公司註冊編號 1826400 有限公司"," 27-12-2013"
79,"1985583","BEIJING SHENGHUAXIMENG ELECTRIC LIMITED","北京勝華西蒙電氣有限公司","Company Registration Number 1985583 Limited","公司註冊編號 1985583 有限公司"," 22-09-2014"
80,"1715432","BELLE (HK) SHOES CO., LIMITED","香港佰麗鞋業有限公司","Company Registration Number 1715432 Limited","公司註冊編號 1715432 有限公司"," 12-10-2012"
81,"1755486","BELLE SHOES & CLOTHING HONGKONG GROUP LIMITED","百麗鞋服香港集團有限公司","Company Registration Number 1755486 Limited","公司註冊編號 1755486 有限公司"," 29-01-2013"
82,"1800303","BELLE SHOES (H.K.) GROUP HOLDINGS LIMITED","百麗鞋業香港集團股份有限公司","Company Registration Number 1800303 Limited","公司註冊編號 1800303 有限公司"," 14-03-2013"
83,"1999494","BLOOMBERG TRADING LIMITED","","Company Registration Number 1999494 Limited",""," 10-06-2014"
84,"2130609","BLUE MOON GROUP (CHINA) LIMITED","藍月亮集團(中國)有限公司","Company Registration Number 2130609 Limited","公司註冊編號 2130609 有限公司"," 19-01-2015"
85,"1957631","BOLUN OPTICS INT'L GROUP INVESTMENT LIMITED","暴龍光學國際集團投資有限公司","Company Registration Number 1957631 Limited","公司註冊編號 1957631 有限公司"," 03-10-2014"
86,"1804068","BOSCHI (CHINA) LIMITED","寶臣(中國)有限公司","Company Registration Number 1804068 Limited","公司註冊編號 1804068 有限公司"," 20-02-2013"
87,"1012174","BOSHI (CHINA) BRAND MANAGEMENT LIMITED","波士(中國)品牌管理有限公司","Company Registration Number 1012174 Limited","公司註冊編號 1012174 有限公司"," 23-09-2015"
88,"1582943","BOSHI ELECTRICAL GROUP (CHINA) CO., LIMITED","博世電器集團(中國)有限公司","Company Registration Number 1582943 Limited","公司註冊編號 1582943 有限公司"," 19-04-2012"
89,"2827957","BUDWEISER GOLD (CHINA) CO., LIMITED","美國金尊百威(中國)有限公司","Company Registration Number 2827957 Limited","美國金尊百威(中國)有限公司"," 15-09-2020"
90,"2751770","BULL CAPITAL HOLDING GROUP LIMITED","雄牛資本控股集團有限公司","Company Registration Number 2751770 Limited","公司註冊編號 2751770 有限公司"," 28-11-2019"
91,"2064854","BULL ELECTRIC (IN'L) INDUSTRY TRADE LIMITED","公牛電器(國際)工貿有限公司","Company Registration Number 2064854 Limited","公司註冊編號 2064854 有限公司"," 13-08-2014"
92,"2027133","BULLTRADE LIMITED","","Company Registration Number 2027133 Limited",""," 03-03-2015"
93,"2549087","BaiWei YingBo Hong Kong Beer Co., Limited","百威英博香港啤酒有限公司","Company Registration Number 2549087 Limited","公司註冊編號 2549087 有限公司"," 11-09-2018"
94,"2549083","BaiWei YingBo Hong Kong Sales Limited","百威英博香港銷售有限公司","Company Registration Number 2549083 Limited","公司註冊編號 2549083 有限公司"," 11-09-2018"
95,"2549085","BaiWei YingBo Investments Hong Kong Limited","百威英博投資香港有限公司","Company Registration Number 2549085 Limited","公司註冊編號 2549085 有限公司"," 12-09-2018"
96,"1567765","Bess Matriculate International Group Co., Limited","碧生源國際集團有限公司","Bess Matriculate International Group Co., Limited","公司註冊編號 1567765 有限公司"," 30-03-2012"
97,"2057892","Best Services International Freight Forwarding Limited","","Company Registration Number 2057892 Limited",""," 24-03-2015"
98,"2224241","Bloomberg (HK) Industrial Limited","布隆伯格(香港)實業有限公司","Company Registration Number 2224241 Limited","布隆伯格(香港)實業有限公司"," 17-09-2019"
99,"2006808","Bridgestone Investment Corporation Limited","","Company Registration Number 2006808 Limited",""," 05-02-2021"
100,"1343346","CALIFORNIA LE SHI VINTAGE LIMITED","美國加州樂事葡萄釀酒有限公司","Company Registration Number 1343346 Limited","公司註冊編號 1343346 有限公司"," 07-06-2013"
101,"1861396","CANADA EASTMAN INTERNATIONAL GROUP CO., LIMITED","加拿大伊士曼國際集團有限公司","Company Registration Number 1861396 Limited","公司註冊編號 1861396 有限公司"," 19-07-2016"
102,"2230265","CASTOR (CHINA) INTERNATIONAL GROUP CO., LIMITED","嘉實多(中國)國際集團股份有限公司","Company Registration Number 2230265 Limited","公司註冊編號 2230265 有限公司"," 07-07-2016"
103,"2326217","CATHAY PACIFIC HONG KONG INT’L INVESTMENT GROUP CO., LIMITED","國泰香港國際投資集團有限公司","Company Registration Number 2326217 Limited","公司註冊編號 2326217 有限公司"," 17-08-2016"
104,"1532867","CENTURY PROCTER & GAMBLE CHINA CO., LIMITED","百年寶潔中國有限公司","Company Registration Number 1532867 Limited","公司註冊編號 1532867 有限公司"," 16-10-2012"
105,"1346632","CHANG SHEN HOLDINGS LIMITED","長昇集團有限公司","CHANG SHEN HOLDINGS LIMITED","公司註冊編號 1346632 有限公司"," 30-10-2018"
106,"1904455","CHANGCHUN JIEFANG COMMERCIAL VEHICLE ZHUANGCHE SPARE PARTS CO., LIMITED","長春解放商用車裝車備品有限公司","Company Registration Number 1904455 Limited","公司註冊編號 1904455 有限公司"," 10-07-2014"
107,"1909314","CHAOYANG DONGPU TYRES LIMITED","朝陽東浦輪胎有限公司","Company Registration Number 1909314 Limited","公司註冊編號 1909314 有限公司"," 12-06-2014"
108,"1887723","CHAOYANG LIWANG RUBBER CO., LIMITED","朝陽力王橡膠有限公司","Company Registration Number 1887723 Limited","公司註冊編號 1887723 有限公司"," 17-04-2014"
109,"1930795","CHAOYANG YADU TYRES LIMITED","朝陽雅度輪胎有限公司","Company Registration Number 1930795 Limited","公司註冊編號 1930795 有限公司"," 14-08-2014"
110,"2368378","CHAOYANG YSP TYRE SHARE LIMITED","朝陽車業輪胎股份有限公司","Company Registration Number 2368378 Limited","公司註冊編號 2368378 有限公司"," 23-06-2017"
111,"1907031","CHAUMET PARIS LIMITED","尚美巴黎有限公司","Company Registration Number 1907031 Limited","公司註冊編號 1907031 有限公司"," 01-03-2018"
112,"3025084","CHEER SMART DEVELOP LIMITED","卓悅拓展有限公司","CHEER SMART DEVELOP LIMITED","公司註冊編號 3025084 有限公司"," 04-04-2022"
113,"1019930","CHEND ELECTRONICS GROUP CO., LIMITED","上海施耐德電氣集團有限公司","CHEND ELECTRONICS GROUP CO., LIMITED","公司註冊編號 1019930 有限公司"," 31-12-2012"
114,"1962414","CHINA (HK) SHINAIDE ELECTRIC GROUP LIMITED","中國香港施耐德電氣集團有限公司","Company Registration Number 1962414 Limited","公司註冊編號 1962414 有限公司"," 12-08-2014"
115,"2455847","CHINA BAIWEI YINGBO GROUP SHARE CO., LIMITED","中國百威英博集團股份有限公司","Company Registration Number 2455847 Limited","公司註冊編號 2455847 有限公司"," 24-01-2018"
116,"1830584","CHINA CHAOYANG RUBBER GROUP CO., LIMITED","中國朝陽橡膠集團有限公司","Company Registration Number 1830584 Limited","公司註冊編號 1830584 有限公司"," 05-12-2013"
117,"1760246","CHINA ELECTRONICS INSTRUMENT GROUP CO., LIMITED","中電科儀集團有限公司","CHINA ELECTRONICS INSTRUMENT GROUP CO., LIMITED","公司註冊編號 1760246 有限公司"," 25-07-2013"
118,"1739491","CHINA ELECTRONICS TECHNOLOGY (HK) LIMITED","中電技術(香港)有限公司","CHINA ELECTRONICS TECHNOLOGY (HK) LIMITED","公司註冊編號 1739491 有限公司"," 13-03-2013"
119,"2221709","CHINA EMPEROR GROUP SHARES CO., LIMITED","中國帝王集團股份有限公司","Company Registration Number 2221709 Limited","中國帝王集團股份有限公司"," 21-08-2015"
120,"1585357","CHINA GUOJIAO HOLDINGS GROUP CO., LIMITED","中國國窖控股集團有限公司","Company Registration Number 1585357 Limited","公司註冊編號 1585357 有限公司"," 22-11-2012"
121,"1812332","CHINA HAITIAN SEASON FOOD GROUP LIMITED","中國海天調味食品集團有限公司","Company Registration Number 1812332 Limited","公司註冊編號 1812332 有限公司"," 02-12-2013"
122,"2234510","CHINA HONGDOUSHAN HOLDING GROUP LIMITED","中國紅豆杉控股集團有限公司","CHINA HONGDOUSHAN HOLDING GROUP LIMITED","公司註冊編號 2234510 有限公司"," 11-07-2016"
123,"1907968","CHINA NATIONAL PETROLEUM KUNLUN TIANXUN LUBRICANT CO., LIMITED","中國石油天然氣昆崙天迅潤滑油有限公司","CHINA NATIONAL PETROLEUM KUNLUN TIANXUN LUBRICANT CO., LIMITED","公司註冊編號 1907968 有限公司"," 12-06-2014"
124,"1815284","CHINA NEW HUARUN HOLDING GROUP LIMITED","中國新華潤控股集團有限公司","Company Registration Number 1815284 Limited","公司註冊編號 1815284 有限公司"," 06-12-2013"
125,"2988191","CHINA OVERSEAS CHINESE TECHNOLOGY INDUSTRY CO., LIMITED","中僑科技實業有限公司","Company Registration Number 2988191 Limited","中僑科技實業有限公司"," 24-06-2021"
126,"2771041","CHINA OVERSEAS MINERAL EXPLORATION AND DEVELOPMENT LIMITED","中國海外礦產勘探開發有限公司","Company Registration Number 2771041 Limited","公司註冊編號 2771041 有限公司"," 30-10-2019"
127,"2686479","CHINA OVERSEAS PURCHASING LIMITED","中國海外購有限公司","Company Registration Number 2686479 Limited","公司註冊編號 2686479 有限公司"," 02-01-2019"
128,"1711266","CHINA PHILIP STOCK LIMITED","中國飛利浦股份有限公司","Company Registration Number 1711266 Limited","公司註冊編號 1711266 有限公司"," 09-01-2015"
129,"1854939","CHINA RESOURCES INTEGRATE ASSOCIATION CO., LIMITED","中國資源整合協會有限公司","Company Registration Number 1854939 Limited","中國資源整合協會有限公司"," 20-02-2014"
130,"2046136","CHINA RESOURCES INVESTMENT HOLDINGS LIMITED","中國資源投資控股有限公司","Company Registration Number 2046136 Limited","中國資源投資控股有限公司"," 22-04-2015"
131,"0861554","CHINA TAXUS PHARMACEUTICALS GROUP CO., LIMITED","中國紅豆杉藥業集團有限公司","Company Registration Number 0861554 Limited","公司註冊編號 0861554 有限公司"," 20-03-2020"
132,"2257653","CHINA TRAVEL (INTERNATIONAL) INVESTMENT LIMITED","中國旅遊(國際)投資有限公司","Company Registration Number 2257653 Limited","中國旅遊(國際)投資有限公司"," 07-09-2016"
133,"1597843","CHINA TYCO DEVELOPMENT TECHNOLOGY LIMITED","中國太古發展科技有限公司","CHINA TYCO DEVELOPMENT TECHNOLOGY LIMITED","公司註冊編號 1597843 有限公司"," 06-12-2011"
134,"1964000","CHINA UNITED RESOURCES LIMITED","中國聯合資源有限公司","Company Registration Number 1964000 Limited","中國聯合資源有限公司"," 23-04-2014"
135,"1839670","CHINA ZELI (SATURDAY FOOK) HK DIAMANT JEWELRY GROUP LIMITED","中國澤利(周六福)香港黃金鑽石集團有限公司","CHINA ZELI (SATURDAY FOOK) HK DIAMANT JEWELRY GROUP LIMITED","公司註冊編號 1839670 有限公司"," 13-05-2013"
136,"3005331","CHINA ZHONGJIN GROUP CO., LIMITED","中國中金集團有限公司","CHINA ZHONGJIN GROUP CO., LIMITED","公司註冊編號 3005331 有限公司"," 18-01-2022"
137,"1927030","CHINA ZHONGQI POWER LIMITED","中國重汽動力有限公司","Company Registration Number 1927030 Limited","公司註冊編號 1927030 有限公司"," 14-07-2014"
138,"1526909","CHINELEC INDUSTRY LIMITED","中電利科實業有限公司","CHINELEC INDUSTRY LIMITED","公司註冊編號 1526909 有限公司"," 04-01-2012"
139,"2185505","CHINESE PROJECT MANAGER INSTITUTE LIMITED","中國項目經理學院有限公司","Company Registration Number 2185505 Limited","公司註冊編號 2185505 有限公司"," 06-11-2015"
140,"1537010","CHINESE RESOURCE CONSULTANTS LIMITED","","Company Registration Number 1537010 Limited",""," 12-01-2012"
141,"1715251","CHIVAS INT'L TRADE LIMITED","芝華國際貿易有限公司","Company Registration Number 1715251 Limited","公司註冊編號 1715251 有限公司"," 16-04-2013"
142,"1274160","CHRITRS H.K. INTERNATIONAL ARTS AUCTION LIMITED","佳士得香港國際藝術品拍賣有限公司","Company Registration Number 1274160 Limited","公司註冊編號 1274160 有限公司"," 12-09-2017"
143,"2988260","CICC Sole Holding Co., Limited","中金唯一控股有限公司","Company Registration Number 2988260 Limited","公司註冊編號 2988260 有限公司"," 01-12-2021"
144,"1846252","CIGNA HONEST BUSINESS INC CO., LIMITED","香港智諾誠有限公司","Company Registration Number 1846252 Limited","香港智諾誠有限公司"," 07-01-2014"
145,"3116975","CITIC INTERNATIONAL INDUSTRY GROUP LIMITED","中信國際產業集團有限公司","Company Registration Number 3116975 Limited","公司註冊編號 3116975 有限公司"," 04-07-2022"
146,"2037762","CIXI CHIMING GONGNIU ELECTRIC TECHNOLOGY LIMITED","慈溪馳名公牛電器科技有限公司","Company Registration Number 2037762 Limited","公司註冊編號 2037762 有限公司"," 13-08-2014"
147,"2124716","CLIPSAL ELECTRIC (HONGKONG) CO., LIMITED","奇勝電氣(香港)有限公司","Company Registration Number 2124716 Limited","公司註冊編號 2124716 有限公司"," 21-03-2016"
148,"1965489","CLP HUAXIN (HONG KONG) INTERNATIONAL ENGINEERING CONSULTING LIMITED","中電華鑫(香港)國際工程諮詢顧問有限公司","Company Registration Number 1965489 Limited","公司註冊編號 1965489 有限公司"," 15-10-2014"
149,"1848542","COFCO GROUP LOCAL PRODUCTS IMPORT AND EXPORT LIMITED","中糧集團土特產進出口有限公司","Company Registration Number 1848542 Limited","公司註冊編號 1848542 有限公司"," 21-01-2014"
